;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);%_FRR;Min_Time_Detection(s);Average_Time_Detection(s);Max_Time_Detection(s);Standard_deviation(s);Number_clusters
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};91.86;10;256.7142857;5695;742.8686098;0.2;111;435.1666667;1327;454.3603929;5
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};89.4;10;228.8909091;4783;552.637242;0.31;12;292.7777778;761;281.0986383;10
0;EE;10;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.49;10;124.6629921;2922;349.4969343;1.41;10;81.17142857;267;70.22295825;30
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.11;30;2599.516129;16809;4013.250004;0.04;290;1297.5;2305;1424.820164;1
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};87.48;30;363.952381;8800;1055.036936;0.08;290;874.3333333;1586;657.3160072;3
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};89.4;30;135.0265487;4683;465.3571674;0.04;661;1297.5;1934;900.1469325;5
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.85;30;413.4684211;7500;998.5242956;1.77;30;84.4;272;58.59312712;10
0;EE;30;B;['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};63.03;30;57.87635328;1086;78.11672321;9.46;30;39.5412844;100;9.93855047;30
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.83;3;1636.811321;15125;2639.471589;0.27;175;301;411;86.50722513;1
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.76;3;332.9459459;5018;761.7179055;0.47;31;188.5;410;129.8306589;3
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.09;3;314.7381818;3913;649.3097827;0.27;11;301;771;284.021126;5
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.62;3;172.8483034;3434;471.869928;0.27;129;301;683;220.9072203;10
0;EE;3;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.83;3;100.0618436;2545;258.0173818;0.53;10;167.6666667;627;202.6209515;30
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.82;5;2223.410256;17905;3681.32689;0.2;230;377.5;638;181.4194036;1
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.48;5;393.9269406;8109;993.6416131;0.07;358;752;1146;557.2001436;3
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.51;5;330.0305344;5084;753.101342;0.27;130;302.6;534;169.5547109;5
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.87;5;296.6344828;4797;698.4452909;0.13;168;502.3333333;981;425.2838268;10
0;EE;5;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.69;5;142.121911;3472;376.2071681;0.47;44;190.25;483;142.4728044;30
0;EE;10;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.75;10;2474.457143;17872;3812.777275;0.07;271;755;1239;684.4793642;1
0;EE;10;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.08;10;590.1506849;8095;1145.34112;0;1502;1502;1502;;3
0;EE;10;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.22;10;517.8203593;8094;1048.990268;0;1502;1502;1502;;5
0;EE;10;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};97.17;10;256.9705015;3502;585.0924918;0.27;65;306.8;633;236.5601403;10
0;EE;10;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};95.16;10;124.790436;2618;330.6716123;0.6;11;157.4;588;182.9099353;30
0;EE;30;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.51;30;3309.269231;17840;4536.121714;0;1506;1506;1506;;1
0;EE;30;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};98.89;30;766.0434783;11955;1895.521617;0.2;132;397.5;738;287.7562626;3
0;EE;30;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.88;30;260.3036212;9944;820.9899357;0.14;53;520.6666667;842;414.3553226;5
0;EE;30;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.49;30;153.0992;4766;405.2250084;2.84;30;64;188;35.68403004;10
0;EE;30;C;['A', 'B', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};43.03;30;64.8038835;857;89.42977974;30.67;30;32.18012422;46;2.63309443;30
0;EE;3;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.69;3;834.9587629;7444;1272.974493;0.04;161;1325;2489;1646.144587;1
0;EE;3;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.27;3;362.8071749;4437;738.6042373;0.15;129;530.6;809;253.3027832;3
0;EE;3;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};96.26;3;133.5716695;3664;463.7559812;0.11;95;663;2030;921.3566085;5
0;EE;3;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};94.32;3;149.5752896;3538;477.262776;0.19;35;442.3333333;1207;472.2341227;10
0;EE;3;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};89.04;3;102.2347222;2508;339.4961278;0.45;16;204.6923077;475;161.5200631;30
0;EE;5;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.61;5;1079.506667;7437;1520.44935;0;2648;2648;2648;;1
0;EE;5;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.45;5;778.3461538;5576;1102.516079;0;2648;2648;2648;;3
0;EE;5;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};90.85;5;208.9164345;5576;616.3149532;0.04;407;1325.5;2244;1298.955157;5
0;EE;5;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};93.16;5;162.4852941;3558;468.5237126;0.23;104;380.8571429;640;239.6736869;10
0;EE;5;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};88.6;5;79.3592437;2549;271.8951427;0.19;13;443.8333333;947;397.5220329;30
0;EE;10;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.37;10;1303.725806;9597;1776.143789;0.08;410;887.6666667;1545;588.4439934;1
0;EE;10;D;['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J'];{'contamination: 0'};99.07;10;834.0721649;9580;1371.757375;0.08;686;887.6666667;1269;330.4275009;3
