;Method;Time_Window;Driver;Impostors;Method_Parameters;PORC_FAR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;PORC_FRR;Min_Time_Detection_s;Average_Time_Detection_s;Max_Time_Detection_s;Standard_deviation_s;Number_clusters
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};15.73;5;12.27146312;460;23.3267787;12.32;5;12.33552632;43;8.192181767;5
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};26.12;5;9.608395062;151;11.39441868;21.18;5;8.888412017;35;4.64567778;10
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};16.8;5;8.172522137;134;7.726462814;16.82;5;10.01;38;5.647955115;10
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};14.72;5;9.391157895;157;10.4895265;15.85;5;10.33333333;38;5.833944122;10
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};14.59;5;9.862355658;411;14.62107621;14.39;5;11.02840909;45;6.896317011;10
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};22.79;5;8.066666667;144;8.39085876;22.91;5;8.284615385;26;3.64068519;30
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};12.77;5;7.612357724;113;6.204074742;18.75;5;9.149122807;28;4.300870634;30
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};10.52;5;7.952895419;179;6.920894059;16.75;5;9.897058824;38;5.464096081;30
0;IF;5;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};14.09;5;8.505514706;178;7.840256854;16.06;5;10.18877551;37;5.489390843;30
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};6.03;10;13.05499613;126;8.339924306;14.16;10;15.91061453;54;6.393716118;1
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};13.71;10;14.32825795;733;26.15586369;12.49;10;16.83229814;49;7.552512847;1
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};12.2;10;16.25771076;1213;45.7735907;10.76;10;18.12056738;49;7.892559948;1
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};30.81;10;18.63243243;1696;47.83806604;10.34;10;18.29496403;57;8.477124579;1
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};22.89;10;15.59143711;1405;32.51537617;21.37;10;13.70124481;35;4.208369452;3
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};19.88;10;15.67944251;553;18.91853974;18.67;10;14.27927928;34;4.618810979;3
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};17.74;10;17.06390781;556;22.14342664;14.64;10;15.61290323;47;6.206417355;3
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};19.22;10;20.28213802;617;34.27290361;12.42;10;16.69512195;47;6.893918409;3
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};16.59;10;12.9352105;767;15.29968289;18.11;10;14.46296296;37;4.708084933;5
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};14.56;10;13.9166991;883;19.67467272;14.99;10;15.44736842;39;5.389080516;5
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};12.38;10;14.74852862;896;24.58884394;13.81;10;16.17919075;56;6.482285829;5
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};16.26;10;17.16907933;902;33.85331172;11.1;10;17.71428571;51;7.613974175;5
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};22.06;10;13.67431641;265;11.48161495;20.06;10;13.96551724;31;4.595181053;10
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};13.14;10;13.90197764;223;11.14305128;15.34;10;15.35416667;41;6.113206315;10
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};9.77;10;16.60179372;211;16.56571692;14.3;10;15.74863388;42;6.253103475;10
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};13.1;10;19.79107312;534;33.38116708;12.28;10;16.9;57;7.979691203;10
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};12.65;10;12.83071553;244;9.225656799;21.44;10;13.73640167;29;4.107992469;30
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};8.67;10;12.92022941;160;7.606684973;18.18;10;14.38356164;28;4.679538136;30
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};8.25;10;13.36973764;126;7.827581045;17.35;10;14.67142857;43;5.106674763;30
0;IF;10;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};10.83;10;13.97880233;123;8.40596264;15.61;10;15.33333333;43;6.251561759;30
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};48.92;30;36.43283846;1057;20.43531458;16.07;30;35.10204082;61;5.514530542;1
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};29.64;30;35.40226131;1727;34.94698883;11.09;30;37.86013986;69;8.335906888;1
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};16.85;30;35.44815309;1736;45.75861844;11.16;30;37.6122449;70;8.697700042;1
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};22.91;30;36.62524197;1737;50.48268654;8.56;30;40.13675214;76;10.28466047;1
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};14.71;30;34.07420778;492;17.24799371;18.04;30;34.81094527;55;5.06794629;3
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};17.88;30;35.5817637;727;25.70863246;15.44;30;35.58469945;55;5.459358916;3
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};9.59;30;36.26343612;904;31.18135823;14.46;30;35.96571429;64;6.327187408;3
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 50};15.96;30;40.86171132;1416;60.90066415;12.21;30;37.01923077;73;7.14320896;3
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 5};29.89;30;34.61105045;646;15.33929843;19.58;30;34.16216216;70;4.824598622;5
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 15};22.43;30;37.12431521;915;30.95415153;15.44;30;35.27604167;73;6.001033851;5
0;IF;30;A;['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'];{'n_estimators': 25};14.65;30;38.77795031;910;41.71534214;13.82;30;36.30952381;73;7.380953301;5
